file,mean,std
real_images/DSC_0711.JPG,5.223983561154455,1.3679764248851454
real_images/DSC_0096.JPG,5.5757733434438705,1.4953702532678084
real_images/DSC_0741.JPG,4.125199571251869,1.6552911563677823
real_images/DSC_0158.JPG,5.288634543772787,1.327062948977717
real_images/DSC_0401.JPG,5.04423950985074,1.5552444927264828
real_images/DSC_0002.JPG,5.155602069571614,1.4036019726495936
real_images/DSC_0142.JPG,4.675636859610677,1.4645728061542986
real_images/DSC_0169.JPG,4.035772806033492,1.5403169010963493
real_images/DSC_0122.JPG,4.709250332787633,1.7119697202160449
real_images/DSC_0449.JPG,5.254213471896946,1.3300509296687997
real_images/DSC_0239.JPG,4.895616105757654,1.4809067612743996
real_images/DSC_0184.JPG,4.060017534531653,1.7263073049684974
